,,Win,,Cover,,Total Points,
Team,Date,Moneyline,$20 Bet,Spread,$20 Bet,Over-Under,$20 Bet
Vikings,2023-09-14 20:15:00,260,52.00,7.0,18.18,48.0,17.86
Eagles,2023-09-14 20:15:00,-290,6.90,-7.0,19.05,48.5,18.18
Packers,2023-09-17 13:00:00,-118,16.95,-1.0,17.86,40.5,18.18
Falcons,2023-09-17 13:00:00,106,21.20,1.5,18.18,40.5,18.18
Raiders,2023-09-17 13:00:00,375,75.00,10.0,18.18,47.5,18.18
Bills,2023-09-17 13:00:00,-500,4.00,-10.0,18.18,47.5,18.18
Ravens,2023-09-17 13:00:00,160,32.00,3.5,18.18,46.0,17.39
Bengals,2023-09-17 13:00:00,-170,11.76,-3.5,20.00,46.5,18.18
Seahawks,2023-09-17 13:00:00,200,40.00,6.0,18.18,49.0,18.52
Lions,2023-09-17 13:00:00,-235,8.51,-5.5,18.52,49.0,18.18
Colts,2023-09-17 13:00:00,-120,16.67,-1.0,18.18,40.0,19.05
Texans,2023-09-17 13:00:00,106,21.20,1.5,18.52,40.0,18.18
Chiefs,2023-09-17 13:00:00,-155,12.90,-3.0,18.18,51.0,18.18
Jaguars,2023-09-17 13:00:00,144,28.80,3.0,18.18,51.5,18.18
Bears,2023-09-17 13:00:00,140,28.00,3.0,18.18,41.5,18.52
Buccaneers,2023-09-17 13:00:00,-148,13.51,-3.0,18.18,41.5,18.18
Chargers,2023-09-17 13:00:00,-162,12.35,-3.0,18.18,45.5,19.05
Titans,2023-09-17 13:00:00,145,29.00,3.0,19.23,46.0,17.86
Giants,2023-09-17 16:05:00,-185,10.81,-4.0,18.18,39.5,18.18
Cardinals,2023-09-17 16:05:00,175,35.00,4.5,18.18,40.5,17.86
49ers,2023-09-17 16:05:00,-350,5.71,-8.0,18.18,44.0,18.18
Rams,2023-09-17 16:05:00,285,57.00,8.5,18.18,44.5,18.18
Jets,2023-09-17 16:25:00,145,29.00,3.5,18.18,45.5,18.18
Cowboys,2023-09-17 16:25:00,-175,11.43,-3.5,18.18,45.5,18.18
Commanders,2023-09-17 16:25:00,160,32.00,3.5,18.18,38.5,18.18
Broncos,2023-09-17 16:25:00,-175,11.43,-3.5,19.05,39.5,17.54
Dolphins,2023-09-17 20:20:00,-135,14.81,-2.0,17.39,47.0,18.18
Patriots,2023-09-17 20:20:00,120,24.00,2.5,18.52,47.5,18.18
Saints,2023-09-18 19:15:00,-166,12.05,-3.0,18.18,40.0,18.18
Panthers,2023-09-18 19:15:00,150,30.00,3.5,17.39,40.5,18.18
Browns,2023-09-18 20:15:00,-125,16.00,-1.5,17.39,39.5,18.18
Steelers,2023-09-18 20:15:00,110,22.00,2.5,17.39,40.5,18.18